,Faithfulness,Answer Relevancy,Context Precision,Context Recall,Average
Haystack Semantic,0.8668840282524494,0.8158239377690064,0.6149625220344895,0.7,0.7494176220139863
Simple RAG,0.8625913162597945,0.8137946808830728,0.6089006991573168,0.7,0.746321674075046
Haystack Hybrid,0.7598335291813554,0.7953602379365725,0.5349234693773226,0.7,0.6975293091238126
Haystack BM25,0.771184012066365,0.7336196633761707,0.46047552908928235,0.5,0.6163198011329545
